word,tf-idf,tf,idf,words_num
电视,1.534279690333263,0.21842105263157896,7.02441304008,380.0
我要,0.8494176909955263,0.07105263157894737,11.9547675029,380.0
禁言,0.14632292265263158,0.010526315789473684,13.900677652,380.0
小姐姐,0.09879776282289474,0.007894736842105263,12.5143832909,380.0
17076188,0.09437974344394737,0.007894736842105263,11.9547675029,380.0
老八,0.09437974344394737,0.007894736842105263,11.9547675029,380.0
fe,0.09437974344394737,0.007894736842105263,11.9547675029,380.0
更新,0.08757547507421053,0.013157894736842105,6.65573610564,380.0
直播间,0.08570648853394736,0.007894736842105263,10.8561552143,380.0
直播,0.07188068768194737,0.007894736842105263,9.10488710638,380.0
八哥,0.0718157100571579,0.007894736842105263,9.09665660724,380.0
打游戏,0.06586517521526315,0.005263157894736842,12.5143832909,380.0
服能,0.06291982896263157,0.005263157894736842,11.9547675029,380.0
666,0.06291982896263157,0.005263157894736842,11.9547675029,380.0
YY,0.06291982896263157,0.005263157894736842,11.9547675029,380.0
未央区,0.06291982896263157,0.005263157894736842,11.9547675029,380.0
zc,0.06291982896263157,0.005263157894736842,11.9547675029,380.0
兔酱,0.06291982896263157,0.005263157894736842,11.9547675029,380.0
舒服,0.05945350001960526,0.007894736842105263,7.53077666915,380.0
游戏,0.05675476781778948,0.007894736842105263,7.18893725692,380.0
声音,0.05601921137021053,0.010526315789473684,5.32182508017,380.0
队友,0.05236544175468422,0.005263157894736842,9.94943393339,380.0
哈哈哈,0.051882244127052626,0.005263157894736842,9.85762638414,380.0
礼盒,0.05179070863910526,0.005263157894736842,9.84023464143,380.0
火线,0.050231414869947366,0.005263157894736842,9.54396882529,380.0
王八,0.050032781564736846,0.005263157894736842,9.5062284973,380.0
梦幻,0.04823410107147368,0.005263157894736842,9.16447920358,380.0
晚上,0.04707025342744737,0.007894736842105263,5.96223210081,380.0
刚刚,0.04566050182294737,0.007894736842105263,5.78366356424,380.0
穿越,0.043374712822210525,0.005263157894736842,8.24119543622,380.0
尺度,0.041883569878157896,0.005263157894736842,7.95787827685,380.0
知道,0.04183272147368421,0.010526315789473684,3.97410854,380.0
正式,0.0415517023276579,0.007894736842105263,5.26321562817,380.0
没有,0.04095820480460526,0.013157894736842105,3.11282356515,380.0
标题,0.039662773132210526,0.005263157894736842,7.53592689512,380.0
考试,0.03912912067231579,0.005263157894736842,7.43453292774,380.0
一起,0.03846299264123684,0.007894736842105263,4.87197906789,380.0
卧槽,0.036580730663157895,0.002631578947368421,13.900677652,380.0
长安区,0.036580730663157895,0.002631578947368421,13.900677652,380.0
气不气,0.036580730663157895,0.002631578947368421,13.900677652,380.0
军师,0.03657318677673684,0.005263157894736842,6.94890548758,380.0
地图,0.03648330144015789,0.005263157894736842,6.93182727363,380.0
房间,0.03568969481031579,0.005263157894736842,6.78104201396,380.0
西安,0.035664207313052636,0.005263157894736842,6.77619938948,380.0
生气,0.03552206414773684,0.005263157894736842,6.74919218807,380.0
灰灰,0.03475665913526316,0.002631578947368421,13.2075304714,380.0
捡漏,0.03475665913526316,0.002631578947368421,13.2075304714,380.0
发育,0.03330077046963158,0.005263157894736842,6.32714638923,380.0
四百个,0.032932587607631576,0.002631578947368421,12.5143832909,380.0
回家,0.032590878866947365,0.005263157894736842,6.19226698472,380.0
同道中人,0.03234536773552631,0.002631578947368421,12.2912397395,380.0
三缺一,0.031865574165,0.002631578947368421,12.1089181827,380.0
基本操作,0.031865574165,0.002631578947368421,12.1089181827,380.0
通知,0.03180426364547368,0.005263157894736842,6.04281009264,380.0
看群里,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
188,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
微信,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
不上,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
FPP,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
刷会,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
低配,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
鸡哈,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
闺蜜团,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
fpp,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
头不晕,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
10,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
没玩菜,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
没烟,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
hx,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
点半,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
我个,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
可菜,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
20,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
先清,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
辣鸡,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
雁塔区,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
栏是,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
灞桥区,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
混个,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
微信发,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
特们,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
透主播,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
弟中弟,0.031459914481315784,0.002631578947368421,11.9547675029,380.0
昨天,0.031193859347526314,0.005263157894736842,5.92683327603,380.0
转圈圈,0.03110851607973684,0.002631578947368421,11.8212361103,380.0
新出,0.03110851607973684,0.002631578947368421,11.8212361103,380.0
不玩,0.03110851607973684,0.002631578947368421,11.8212361103,380.0
两毛,0.03079856072263158,0.002631578947368421,11.7034530746,380.0
虎牙,0.030521296207894736,0.002631578947368421,11.598092559,380.0
五十多,0.02983086393289474,0.002631578947368421,11.3357282945,380.0
找到,0.02979795958005263,0.005263157894736842,5.66161232021,380.0
送个,0.029284444551842106,0.002631578947368421,11.1280889297,380.0
几级,0.029284444551842106,0.002631578947368421,11.1280889297,380.0
好想,0.028974489195,0.002631578947368421,11.0103058941,380.0
劳资,0.02832943009473684,0.002631578947368421,10.765183436,380.0
橙子,0.027811771425789476,0.002631578947368421,10.5684731418,380.0
二十块,0.02687315315236842,0.002631578947368421,10.2117981979,380.0
好了吗,0.02644876329026316,0.002631578947368421,10.0505300503,380.0
出不来,0.026132594048473685,0.002631578947368421,9.93038573842,380.0
一块钱,0.026132594048473685,0.002631578947368421,9.93038573842,380.0
网吧,0.02608340422476316,0.002631578947368421,9.91169360541,380.0
亏本,0.025850368968605264,0.002631578947368421,9.82314020807,380.0
买得起,0.02580613970986842,0.002631578947368421,9.80633308975,380.0
坏话,0.025677744540999997,0.002631578947368421,9.75754292558,380.0
哈哈哈哈,0.02551575008573684,0.002631578947368421,9.69598503258,380.0
八爷,0.025476763017894737,0.002631578947368421,9.6811699468,380.0
毛线,0.025363152039289474,0.002631578947368421,9.63799777493,380.0
东西,0.025122548425368423,0.005263157894736842,4.77328420082,380.0
白沙,0.02508218368292105,0.002631578947368421,9.53122979951,380.0
买不到,0.024920686455605263,0.002631578947368421,9.46986085313,380.0
高新区,0.024798265361842105,0.002631578947368421,9.4233408375,380.0
粉丝,0.024515026771868422,0.002631578947368421,9.31571017331,380.0
道具,0.0244883100048421,0.002631578947368421,9.30555780184,380.0
没意思,0.024384075430921054,0.002631578947368421,9.26594866375,380.0
关了,0.024163628370210525,0.002631578947368421,9.18217878068,380.0
表白,0.02402629744081579,0.002631578947368421,9.12999302751,380.0
独占,0.023982068182078944,0.002631578947368421,9.11318590919,380.0
啥时候,0.02393857001905263,0.002631578947368421,9.09665660724,380.0
二十个,0.023812229968578943,0.002631578947368421,9.04864738806,380.0
好玩,0.02371139085197368,0.002631578947368421,9.01032852375,380.0
快来,0.023394848310210527,0.002631578947368421,8.89004235788,380.0
钞票,0.02288597622342105,0.002631578947368421,8.6966709649,380.0
雪地,0.02270441603528947,0.002631578947368421,8.62767809341,380.0
继续,0.022460132938368422,0.005263157894736842,4.26742525829,380.0
几点,0.022386973962157893,0.002631578947368421,8.50705010562,380.0
上车,0.022339556842421053,0.002631578947368421,8.48903160012,380.0
头戴,0.02219109871273684,0.002631578947368421,8.43261751084,380.0
后天,0.022019179376973685,0.002631578947368421,8.36728816325,380.0
再见,0.02184804129731579,0.002631578947368421,8.30225569298,380.0
