word,tf-idf,tf,idf,words_num
感谢,0.42021317028961797,0.056087135759074834,7.49214886092,46089.0
陪伴,0.2437116979153399,0.027555381978346245,8.84443184663,46089.0
66,0.23474287986557527,0.019635921803467203,11.9547675029,46089.0
欢迎,0.22439597850620321,0.032502332443750136,6.9039961638,46089.0
炸炸,0.20154167696746075,0.01685868645446853,11.9547675029,46089.0
sh,0.16937801165991234,0.014168239710126061,11.9547675029,46089.0
订阅,0.1391726686601263,0.016836989303304475,8.26588804881,46089.0
xd,0.13903003713585455,0.011629673023931957,11.9547675029,46089.0
主播,0.13903003713585455,0.011629673023931957,11.9547675029,46089.0
小可爱,0.11153529098585345,0.00932977500054243,11.9547675029,46089.0
666,0.10608821863538154,0.008874134826097333,11.9547675029,46089.0
能秀,0.09856607110377746,0.00824491744233982,11.9547675029,46089.0
王炸,0.09700976471792835,0.008114734535355508,11.9547675029,46089.0
亲亲,0.09527377953735165,0.00932977500054243,10.2117981979,46089.0
抱抱,0.0950390866047148,0.00935147215170648,10.1630080337,46089.0
hx,0.09000638598160732,0.007528911453926099,11.9547675029,46089.0
救救,0.08644999845007659,0.008874134826097333,9.74179456862,46089.0
直播间,0.0843260553867387,0.007767580116730673,10.8561552143,46089.0
大佬,0.0763254039660392,0.008049643081863352,9.48183704418,46089.0
点点,0.07515332619914775,0.008375100349324134,8.97342396682,46089.0
最帅,0.07418393772547462,0.0062053852329189176,11.9547675029,46089.0
10,0.0713307093514179,0.005966716570114344,11.9547675029,46089.0
yb,0.06588363700094599,0.005511076395669248,11.9547675029,46089.0
喜欢,0.06570058890415544,0.011521187268111696,5.70258840302,46089.0
入座,0.05948422080984834,0.005879927965458135,10.1164880181,46089.0
牌子,0.05801834075674109,0.007203454186465317,8.05423887692,46089.0
萨瓦迪卡,0.05758333627641736,0.004816767558419579,11.9547675029,46089.0
大哥,0.056379565880141674,0.008049643081863352,7.00398332035,46089.0
宝宝,0.055246048028981976,0.007051574128316952,7.83456956187,46089.0
点个,0.05437527512819978,0.004599796046779058,11.8212361103,46089.0
卡个,0.05317380151651153,0.004447915988630693,11.9547675029,46089.0
抽奖,0.05069013111677797,0.005142224825880362,9.85762638414,46089.0
哈哈哈,0.05026236629722711,0.0050988305235522575,9.85762638414,46089.0
厉害,0.04852694688177634,0.007008179825988847,6.92432958153,46089.0
孩子,0.04665461421890365,0.009004317733081647,5.18136027647,46089.0
小姐姐,0.04072896989813188,0.003254572674607824,12.5143832909,46089.0
真的,0.03984898763749745,0.007073271279481004,5.63374230437,46089.0
家主,0.037177104284189286,0.0034932413374123977,10.642581114,46089.0
公爵,0.03484257714371108,0.004013972965349649,8.6803218269,46089.0
降临,0.03371504256253227,0.004013972965349649,8.39941944143,46089.0
bk,0.03320120289811451,0.0027772353489986766,11.9547675029,46089.0
66666,0.032941818500472994,0.002755538197834624,11.9547675029,46089.0
捧场,0.03229950653510642,0.0033413612792640326,9.66657114738,46089.0
礼物,0.03226921355842913,0.004209247325826119,7.66626692626,46089.0
小手,0.030786219965613055,0.0034932413374123977,8.81308131674,46089.0
宝剑,0.02980862767150166,0.003710212849052919,8.03420959504,46089.0
大蜜,0.027494746150001085,0.002299898023389529,11.9547675029,46089.0
dk,0.027235361752359563,0.002278200872225477,11.9547675029,46089.0
辛苦,0.02662152208924472,0.003536635639740502,7.5273578624,46089.0
梦天,0.025938439764151965,0.002169715116405216,11.9547675029,46089.0
xh,0.02516028657122741,0.0021046236629130594,11.9547675029,46089.0
66666666,0.02516028657122741,0.0021046236629130594,11.9547675029,46089.0
dx,0.024641517775944366,0.002061229360584955,11.9547675029,46089.0
哥哥,0.02400513720947992,0.003775304302545076,6.35846418878,46089.0
小牌,0.0238574420049578,0.0021046236629130594,11.3357282945,46089.0
平底锅,0.023784960166768645,0.0018008635466163292,13.2075304714,46089.0
帮忙,0.02356577277987047,0.003146086918787563,7.49050277001,46089.0
666666,0.022825826992453727,0.0019093493024365902,11.9547675029,46089.0
15,0.021269520606604614,0.001779166395452277,11.9547675029,46089.0
空降,0.021093884541057522,0.002430080930373842,8.6803218269,46089.0
20,0.020231983016038534,0.0016923777907960685,11.9547675029,46089.0
11,0.019713214220755493,0.0016489834884679641,11.9547675029,46089.0
分享,0.019620977400559788,0.002603658139686259,7.53592689512,46089.0
欢迎光临,0.0195499055511033,0.0015621948838117556,12.5143832909,46089.0
牌面,0.019453829823113975,0.001627286337303912,11.9547675029,46089.0
111,0.019453829823113975,0.001627286337303912,11.9547675029,46089.0
血瓶,0.019453829823113975,0.001627286337303912,11.9547675029,46089.0
谢谢,0.01839620667513398,0.0024951723838659984,7.37271973435,46089.0
房管,0.017477000956014236,0.001779166395452277,9.82314020807,46089.0
直播,0.01659420939781553,0.0018225606977803814,9.10488710638,46089.0
不要,0.016455253811440907,0.0033630584304280846,4.8929431801,46089.0
虎牙,0.016105316317906657,0.0013886176744993383,11.598092559,46089.0
粉丝,0.015563576630972032,0.0016706806396320163,9.31571017331,46089.0
弹幕,0.015477008561290112,0.0012367376163509732,12.5143832909,46089.0
666666666666666,0.01530367946084966,0.0012801319186790774,11.9547675029,46089.0
6666666,0.014784910665566621,0.0012367376163509732,11.9547675029,46089.0
迷路,0.014742477513723231,0.0015404977326477034,9.56994431169,46089.0
奏乐,0.013971892165437306,0.0014754062791555468,9.46986085313,46089.0
自闭,0.013610649022580225,0.001063160407038556,12.8020653633,46089.0
撒花,0.013599495264605436,0.001215040465186921,11.1926274509,46089.0
钓鱼,0.013577334894169107,0.0015621948838117556,8.69119149913,46089.0
游戏,0.013570212878388338,0.001887652151272538,7.18893725692,46089.0
66666666666,0.01348798867735902,0.0011282518605307123,11.9547675029,46089.0
30,0.013228604279717502,0.00110655470936666,11.9547675029,46089.0
阿尼哈撒哟,0.012969219882075982,0.001084857558202608,11.9547675029,46089.0
好久,0.012722385355223591,0.001497103430319599,8.4980002701,46089.0
帮主,0.012490217435427107,0.0009980689535463994,12.5143832909,46089.0
发科,0.012191066689151424,0.0010197661047104515,11.9547675029,46089.0
一下,0.012093503444611077,0.0024734752327019464,4.88927614262,46089.0
大密,0.011931682291509904,0.0009980689535463994,11.9547675029,46089.0
小虎牙,0.011931682291509904,0.0009980689535463994,11.9547675029,46089.0
jx,0.011931682291509904,0.0009980689535463994,11.9547675029,46089.0
小鱼,0.011680785741524875,0.0013235262210071817,8.82550383674,46089.0
6666666666,0.011412913496226864,0.0009546746512182951,11.9547675029,46089.0
666666666,0.011412913496226864,0.0009546746512182951,11.9547675029,46089.0
夹道,0.010973705219643732,0.0011282518605307123,9.72629038208,46089.0
来到,0.01086742780755126,0.0020178350582568507,5.38568688411,46089.0
感情,0.010789884758972856,0.0016923777907960685,6.37557690585,46089.0
鞠躬,0.010644796279646773,0.0011282518605307123,9.43476953332,46089.0
开播,0.010599643833528608,0.0009763718023823472,10.8561552143,46089.0
太美,0.010575979445496759,0.0009329775000542429,11.3357282945,46089.0
驾到,0.010454323819458006,0.0011282518605307123,9.26594866375,46089.0
守护,0.010195876532759225,0.0011716461628588166,8.70218062071,46089.0
fe,0.010115991508019267,0.0008461888953980343,11.9547675029,46089.0
666666666666,0.010115991508019267,0.0008461888953980343,11.9547675029,46089.0
MUA,0.010115991508019267,0.0008461888953980343,11.9547675029,46089.0
灵敏度,0.009859673638508103,0.00110655470936666,8.9102450652,46089.0
哈哈哈哈,0.00967726163506867,0.0009980689535463994,9.69598503258,46089.0
鼠标,0.009616069846223612,0.0008895831977261385,10.8096351986,46089.0
单四,0.009597222712736227,0.0008027945930699299,11.9547675029,46089.0
举报,0.009422176317537374,0.0012584347675150252,7.48721869481,46089.0
私聊,0.009349758233244375,0.000672611686085617,13.900677652,46089.0
今天,0.009206753314902689,0.0018442578489444336,4.99211827683,46089.0
炸哥,0.009078453917453188,0.0007594002907418256,11.9547675029,46089.0
没点,0.009078453917453188,0.0007594002907418256,11.9547675029,46089.0
队友,0.009066723626079543,0.0009112803488901907,9.94943393339,46089.0
一颗,0.009057737874266744,0.0013235262210071817,6.84364067028,46089.0
糖糖,0.00904815312894617,0.0006509145349215648,13.900677652,46089.0
小凤,0.008875804868146412,0.0008244917442339821,10.765183436,46089.0
一个,0.008864260256435375,0.003146086918787563,2.81755097213,46089.0
卡卡,0.00883901403982946,0.0008027945930699299,11.0103058941,46089.0
星痕,0.008559685122170148,0.0007160059884137212,11.9547675029,46089.0
设置,0.008547150494402569,0.001345223372171234,6.35370353446,46089.0
飞蜓,0.008300300724528628,0.0006943088372496692,11.9547675029,46089.0
五码,0.008300300724528628,0.0006943088372496692,11.9547675029,46089.0
KD,0.008300300724528628,0.0006943088372496692,11.9547675029,46089.0
威风,0.00818907333119508,0.0009763718023823472,8.38724890581,46089.0
四排,0.008143337816051553,0.0005858230814294083,13.900677652,46089.0
不违,0.00804091632688711,0.000672611686085617,11.9547675029,46089.0
刷刷,0.007848049180008244,0.0008244917442339821,9.5186510173,46089.0
小哇,0.007781531929245589,0.0006509145349215648,11.9547675029,46089.0
kd,0.007781531929245589,0.0006509145349215648,11.9547675029,46089.0
兄弟,0.007604455913857102,0.0013235262210071817,5.74560276416,46089.0
现在,0.007549085110564343,0.0019093493024365902,3.9537475416,46089.0
沙发,0.007540259263747315,0.0009763718023823472,7.72273353793,46089.0
牛批,0.00752214753160407,0.0006292173837575126,11.9547675029,46089.0
荧光棒,0.007499745379789103,0.0005858230814294083,12.8020653633,46089.0
五级,0.007449448089272928,0.0007160059884137212,10.4041700905,46089.0
一块钱,0.00732567673645078,0.0007377031395777734,9.93038573842,46089.0
没有,0.007294255571528997,0.0023432923257176333,3.11282356515,46089.0
6666666666666,0.0072627631339625505,0.0006075202325934605,11.9547675029,46089.0
车车,0.007238522503156936,0.0005207316279372519,13.900677652,46089.0
金牌,0.007184037192243703,0.0008244917442339821,8.71329184614,46089.0
捶背,0.007042595762027816,0.0006292173837575126,11.1926274509,46089.0
762,0.007003378736321031,0.0005858230814294083,11.9547675029,46089.0
知道,0.006898146698778451,0.0017357720931241729,3.97410854,46089.0
看看,0.006808691645384364,0.0012584347675150252,5.41044464214,46089.0
实干家,0.006799747632302718,0.0006075202325934605,11.1926274509,46089.0
骑狼,0.00674399433867951,0.0005641259302653561,11.9547675029,46089.0
骑鹿,0.00674399433867951,0.0005641259302653561,11.9547675029,46089.0
我要,0.00674399433867951,0.0005641259302653561,11.9547675029,46089.0
一叶知秋,0.00674399433867951,0.0005641259302653561,11.9547675029,46089.0
再帅,0.00674399433867951,0.0005641259302653561,11.9547675029,46089.0
