word,tf-idf,tf,idf,words_num
11111111,0.38012424794377336,0.031796875,11.9547675029,25600.0
欢迎,0.26294516639472654,0.0380859375,6.9039961638,25600.0
谢谢,0.14515041977001564,0.0196875,7.37271973435,25600.0
订阅,0.13561222580078908,0.01640625,8.26588804881,25600.0
大哥,0.1291359424689531,0.0184375,7.00398332035,25600.0
点点,0.11672461644340078,0.0130078125,8.97342396682,25600.0
66,0.1153448270787617,0.0096484375,11.9547675029,25600.0
大维,0.10850444026382813,0.0101953125,10.642581114,25600.0
喜欢,0.1026911427262586,0.0180078125,5.70258840302,25600.0
主播,0.09806645217222655,0.008203125,11.9547675029,25600.0
感谢,0.09394452282637969,0.0125390625,7.49214886092,25600.0
33333333,0.09152868869407811,0.00765625,11.9547675029,25600.0
xd,0.0868588576382578,0.007265625,11.9547675029,25600.0
花花,0.07510810568338282,0.007890625,9.5186510173,25600.0
sh,0.0719153982596328,0.006015625,11.9547675029,25600.0
哈哈哈,0.0700815625747453,0.007109375,9.85762638414,25600.0
小姐姐,0.06306075955180078,0.0050390625,12.5143832909,25600.0
22222222,0.05930685440891796,0.0049609375,11.9547675029,25600.0
宝剑,0.05680437252743126,0.0070703125,8.03420959504,25600.0
dx,0.054637023353097655,0.0045703125,11.9547675029,25600.0
魔法书,0.054637023353097655,0.0045703125,11.9547675029,25600.0
bk,0.05183512471960547,0.0043359375,11.9547675029,25600.0
家主,0.04115685665179687,0.0038671875,10.642581114,25600.0
直播间,0.04113465061668359,0.0037890625,10.8561552143,25600.0
gd,0.040627530185636716,0.0033984375,11.9547675029,25600.0
贵宾席,0.04033063039523437,0.00328125,12.2912397395,25600.0
hx,0.04016054708005469,0.003359375,11.9547675029,25600.0
狗蛋,0.04015349209839844,0.0041015625,9.7898037878,25600.0
哥哥,0.03800175862825547,0.0059765625,6.35846418878,25600.0
公爵,0.0362810326358711,0.0041796875,8.6803218269,25600.0
礼物,0.03533669911322968,0.004609375,7.66626692626,25600.0
一块钱,0.032584078204190625,0.00328125,9.93038573842,25600.0
10,0.03128786807399609,0.0026171875,11.9547675029,25600.0
xh,0.03128786807399609,0.0026171875,11.9547675029,25600.0
虎牙,0.029901332378671874,0.002578125,11.598092559,25600.0
ka,0.029419935651667964,0.0024609375,11.9547675029,25600.0
一本,0.028982568795003907,0.003828125,7.57095674645,25600.0
厉害,0.028941533797801174,0.0041796875,6.92432958153,25600.0
余温,0.02816778916907422,0.0023828125,11.8212361103,25600.0
小可爱,0.02801898633492187,0.00234375,11.9547675029,25600.0
fe,0.02801898633492187,0.00234375,11.9547675029,25600.0
永久,0.02648421318896875,0.0033203125,7.97642185456,25600.0
曾经,0.025265962313625,0.004296875,5.88007850208,25600.0
太美,0.025239707530722657,0.0022265625,11.3357282945,25600.0
牌面,0.024750104595847654,0.0020703125,11.9547675029,25600.0
帮忙,0.024578212214095313,0.00328125,7.49050277001,25600.0
666666,0.023816138384683595,0.0019921875,11.9547675029,25600.0
亲亲,0.023535003659222658,0.0023046875,10.2117981979,25600.0
666666666666666,0.02334915527910156,0.001953125,11.9547675029,25600.0
666,0.02334915527910156,0.001953125,11.9547675029,25600.0
抱抱,0.022628572575035158,0.0022265625,10.1630080337,25600.0
奏乐,0.021085237055797266,0.0022265625,9.46986085313,25600.0
66666,0.02054725664560937,0.00171875,11.9547675029,25600.0
宝宝,0.020504537525206642,0.0026171875,7.83456956187,25600.0
分享,0.020311677959503126,0.0026953125,7.53592689512,25600.0
平底锅,0.019089008884445313,0.0014453125,13.2075304714,25600.0
撒花,0.01880011642143359,0.0016796875,11.1926274509,25600.0
迷路,0.01869129748376953,0.001953125,9.56994431169,25600.0
牌子,0.01856250366165156,0.0023046875,8.05423887692,25600.0
礼盒,0.01806605578700039,0.0018359375,9.84023464143,25600.0
粉丝,0.017830851503601173,0.0019140625,9.31571017331,25600.0
66666666,0.01774535801211719,0.001484375,11.9547675029,25600.0
jx,0.017278374906535155,0.0014453125,11.9547675029,25600.0
tx,0.017278374906535155,0.0014453125,11.9547675029,25600.0
骆驼,0.016888935414101955,0.0020703125,8.15767446417,25600.0
续费,0.01683285184421875,0.0012109375,13.900677652,25600.0
直播,0.01600468436668359,0.0017578125,9.10488710638,25600.0
雷神,0.015995301974285156,0.0015234375,10.4994802703,25600.0
刷刷,0.01598835913062109,0.0016796875,9.5186510173,25600.0
66666666666666,0.015877425589789062,0.001328125,11.9547675029,25600.0
真的,0.015844900231040626,0.0028125,5.63374230437,25600.0
一个,0.015738663633382423,0.0055859375,2.81755097213,25600.0
游戏,0.0157258002495125,0.0021875,7.18893725692,25600.0
君王,0.015569389221785157,0.0017578125,8.85725253506,25600.0
不违,0.01541044248420703,0.0012890625,11.9547675029,25600.0
小虎牙,0.014943459378624999,0.00125,11.9547675029,25600.0
夹道,0.014817395503949999,0.0015234375,9.72629038208,25600.0
大佬,0.01481537038153125,0.0015625,9.48183704418,25600.0
哈哈哈哈,0.014771227198071092,0.0015234375,9.69598503258,25600.0
卡尊,0.014476476273042969,0.0012109375,11.9547675029,25600.0
单排,0.014476476273042969,0.0012109375,11.9547675029,25600.0
唯爱,0.014476476273042969,0.0012109375,11.9547675029,25600.0
鞠躬,0.01437328171091719,0.0015234375,9.43476953332,25600.0
驾到,0.014116093667431641,0.0015234375,9.26594866375,25600.0
没有,0.014104981779585937,0.00453125,3.11282356515,25600.0
一下,0.013751089151118749,0.0028125,4.88927614262,25600.0
王哥,0.013542510061878905,0.0011328125,11.9547675029,25600.0
知道,0.01350575949140625,0.0033984375,3.97410854,25600.0
